word,entropy
soare,5.885960110378857
roate,5.882779324291972
raise,5.8779096908214825
raile,5.865709709951883
reast,5.865457142861992
slate,5.855775376955967
crate,5.834874004263519
salet,5.834581525865651
irate,5.83139698044079
trace,5.830548713859443
arise,5.820939700886005
orate,5.8171611758060475
stare,5.807280035160926
carte,5.794557247295695
raine,5.78670982745623
caret,5.776713196624422
ariel,5.7751665103761844
taler,5.770612389804924
carle,5.770479071966422
slane,5.770181104822019
snare,5.770088860457003
artel,5.768294956015337
arose,5.767796702404355
strae,5.767280625543757
carse,5.7653635102841605
saine,5.764078290003605
earst,5.7570806595033535
taser,5.752976305902512
least,5.751645645679271
alert,5.745836550944613
crane,5.74278174469718
tares,5.742548079353995
seral,5.7394551230793
stale,5.738572671790489
saner,5.733713267350089
ratel,5.7308702349750185
torse,5.723380047282169
tears,5.718023488063657
resat,5.716070666393216
alter,5.713170728077568
later,5.70608895729479
prate,5.700636328430543
trine,5.697082166390679
react,5.696353951200044
saice,5.6912438578299165
toile,5.691013693317559
earnt,5.69044351474724
trone,5.684948930746175
leant,5.6845735014041345
liane,5.684230033386078
trade,5.681560869582508
antre,5.680471516007147
reist,5.674714986198371
coate,5.6744102715443665
sorel,5.671332392949422
urate,5.667024758707074
slier,5.66610532435011
teras,5.663863278906357
stane,5.658276838764487
learn,5.6560743820483745
trape,5.655457970493811
peart,5.653165815043652
rates,5.652966878879515
paire,5.652892659002825
cater,5.64671489848508
stear,5.645639204615667
roast,5.645193450061067
setal,5.644482591352993
stire,5.641458352410139
teals,5.639375003356119
aline,5.637222163488181
aisle,5.636827622829474
trice,5.634236581503793
reals,5.633213785066797
arles,5.63308947862901
toise,5.6326372253377075
scare,5.630489493703485
parse,5.629691003590089
lares,5.628996169669726
oater,5.628423286531478
realo,5.628199542176088
slart,5.627585949636643
laser,5.6273032261092215
arets,5.626703898359731
roset,5.623226399884609
aesir,5.621975448432632
saute,5.620200903567958
tries,5.618388122965749
parle,5.618318329633112
rance,5.618076282106775
litre,5.616373868985053
tales,5.615515623852373
heart,5.614518956629292
alone,5.614035882733973
prase,5.613584635159161
store,5.610465734674016
alien,5.609533789179689
share,5.608309347595908
ronte,5.605927042967331
rales,5.604545145885507
grate,5.604083148440463
tared,5.603814600587256
lears,5.602978506961561
stoae,5.601325641232286
soler,5.60013023380254
anile,5.600095390730643
alure,5.594358070423663
terai,5.593727667539987
sared,5.592132592389814
laten,5.591815706136375
urase,5.591294682924934
trail,5.591217966320831
serai,5.590318778134176
siler,5.588392414221542
scrae,5.587856757353932
liart,5.586290610932154
reais,5.585897092324714
siren,5.583402556140072
tiler,5.581961986056669
thrae,5.581125226925407
snore,5.578529550882132
reans,5.576259949345109
ariot,5.572827543220895
derat,5.572268165278648
taels,5.572223232443892
caste,5.570506836905423
crise,5.56826717772813
anise,5.565907110729797
toner,5.5652979894609365
scale,5.565172531817356
anole,5.565098875267177
leats,5.561155885121833
tores,5.5604062690398415
salue,5.559737114744278
cares,5.559540146027573
maire,5.558677995327905
targe,5.557643075189277
atone,5.557517924509438
caner,5.557335322963978
laers,5.556381175313839
thale,5.5553457076871595
renal,5.555059401418775
dealt,5.554762624991995
tires,5.5539266816489645
sarge,5.553053207537128
stile,5.551916480340499
corse,5.551894295088558
marse,5.5517105045159925
relit,5.551681846876805
spare,5.551208228314202
train,5.550772862791719
plate,5.549879272497885
tolar,5.549588746654969
clear,5.548955370331096
lacet,5.548398874176935
rinse,5.5477532236489715
serac,5.546870545335745
riant,5.544778106899232
sitar,5.544534674363177
porae,5.540822433467181
oriel,5.540227193105022
teary,5.5380017261568435
retia,5.537227180122096
shale,5.536667690602323
solar,5.536233051451223
trial,5.536153949727725
slade,5.535440156757037
orant,5.533516227324894
glare,5.533163120364074
nares,5.53124605457496
armet,5.53036314811648
resit,5.53003896659688
pearl,5.529942508066668
aeros,5.528938889552471
marle,5.527581323210329
aster,5.527285386130441
aloes,5.525798396991682
dater,5.523482949255803
nacre,5.521918156354722
earls,5.521402549561789
lance,5.5213821952339925
rated,5.5208319071898355
stole,5.519419630280291
rathe,5.51855285167382
paise,5.518517172295239
neral,5.516983419750399
deair,5.516908418679938
serin,5.516780243324866
canoe,5.5166563520488126
sonar,5.516330359854337
nitre,5.515876729679768
crine,5.51545593160463
liter,5.515197903509272
pater,5.515101265307867
loast,5.5148583340597765
stair,5.51446665097637
slice,5.514092077336311
palet,5.513463935702734
crone,5.5130739264431385
reoil,5.511335973781418
tenor,5.51092547362399
nears,5.51088834545492
taper,5.50966281482138
arled,5.507850139283693
senor,5.50703872790761
saint,5.506725385818214
soral,5.505343582057186
haole,5.500207382580573
irone,5.499765644358115
lacer,5.498008325529293
route,5.497868072287213
claes,5.496876249671494
tesla,5.495092457855574
seron,5.493664133524986
slant,5.492667409725504
sabre,5.492648708978191
cleat,5.489950316579259
tinea,5.489598404515519
tread,5.489401473695657
irade,5.4891535100153925
larnt,5.48911443427653
blare,5.489099373634185
petar,5.488511929109958
ramet,5.487835910256515
cadre,5.487133791955881
crape,5.487033331589113
halse,5.485853428770588
oaten,5.485553367833381
urite,5.485222727680177
hater,5.484930990017604
spaer,5.484396401244259
dearn,5.484030841926001
spale,5.4830548616262815
clart,5.482731289837085
earns,5.481821429138941
sarin,5.481589133380988
spate,5.481334314534905
toran,5.480550505908124
leans,5.480215630325768
steal,5.480098449321428
alist,5.4798176738207305
lanes,5.479720142255408
thane,5.47889928460091
tried,5.478130612101117
rotes,5.477970040767421
roule,5.4776150845928635
brane,5.476892136757873
argle,5.476026317852236
sayer,5.475470095364576
aired,5.474454005054059
sorta,5.473950302510709
frate,5.473627318179165
sient,5.473204523956136
telia,5.472756077237442
silen,5.472025876723106
plane,5.4715400414549915
rouse,5.471529069959971
tride,5.471468889096911
clote,5.4706479338044085
ursae,5.470295985021679
tuile,5.469856331468331
ceorl,5.469774074251213
sated,5.469078413815459
maile,5.467955105076374
daine,5.466859076683871
heast,5.466538688865754
drole,5.466172374768702
roist,5.46573497612405
paler,5.464838977755662
loser,5.464573599865149
taros,5.46277719727721
arsed,5.462718047200942
rites,5.461253739489929
loure,5.460885029625573
trode,5.460827716582575
chare,5.460495448216914
lores,5.459773200695411
suite,5.4588559246553245
tripe,5.458827716356036
morae,5.45878152851703
crest,5.458308319019986
paren,5.457104240567693
tiars,5.456442462396331
diane,5.4559887115246495
shear,5.4558570749654445
prole,5.4538777029940935
tiers,5.45303878620686
rayle,5.451834779597647
sauce,5.4516074623124915
great,5.451086533589169
elain,5.4507146392952865
shire,5.449834111179777
toles,5.4489795063983575
toeas,5.447240945026732
roles,5.446534461760388
raits,5.4462827367787625
large,5.445788802645666
wrate,5.443698194889684
teils,5.4436416258735445
dorse,5.443082191757474
sager,5.442553128341001
citer,5.442215316656742
neats,5.442000747369088
loner,5.440604336976937
tamer,5.440075583411066
haler,5.439614051179808
cruet,5.4391719287671245
ceria,5.438554808294144
toras,5.438205378607844
rotal,5.438175309704954
alder,5.4372350540584815
maise,5.436897791780693
noise,5.43681524636845
